"Subject","Faculty","Programme","Batch","Division"
"OOAD & JAVA","Sachin Naik, Rambabu M","MBA-IT","2011-13",
"RDBMS","Shirish Joshi","MBA-IT","2011-13",
"Software Project Management","Hiren Malani","MBA-IT","2011-13",
"Software Verification and Validation
","Kirtee Marathe","MBA-IT","2011-13",
"Business Process Analysis","Ashok Kotwal","MBA-IT","2011-13",
"Quantitative Techniquest","Ajay Dani","MBA-IT","2011-13",
"Financial Management – II","Avinash Nene","MBA-IT","2011-13",
"ERP","Varoon Rajani","MBA-IT","2011-13",
"Management Skills – II","Aparna Khandekar, Bidisha Bhadury","MBA-IT","2011-13",
"Software Quality & Security Standards","Shubhashree Waghmare","MBA-IT","2011-13",
"Banking & Financial Markets – I","Avinesh Nene, Hiren Malani","MBA-IT","2011-13",
"Network Operating Systems (SA)","Sudhanwa Jogalekar, Rohit Srivastav","MSc. (CA)","2011-13",
"XML Technologies","Apurva Jadhav","MSc. (CA)","2011-13",
"RTOS","Trupti Hake","MSc. (CA)","2011-13",
"Network Information Systems","Mahesh Gokhale","MSc. (CA)","2011-13",
"Internetworking","Ashok Pattar","MSc. (CA)","2011-13",
"Infrastructure Management","Ashok Sharangpani","MSc. (CA)","2011-13",
"Cryptography & Information Security","Atul Kahate","MSc. (CA)","2011-13",
"Artificial Neural Networks","Pravin Metkewar","MSc. (CA)","2011-13",
"R Programming Language","Manjusha Joshi","MSc. (CA)","2011-13",
"German Language","Asavari, Wagdevi","MSc. (CA)","2011-13",
"Data Structures","Harshad Gune","MSc. (CA)","2011-13",
"Integrated Disaster Mangement Programme","SIHS","MSc. (CA)","2011-13",
